,DATE,TIME,BOT/SOLD,Quantity,Strategy,Ticker,Weekly/Monthly,Expiry Date,AM/PM,Call/Put,Premium,Trade,Call Buy,Call Sell,Put Sell,Put Buy,Call + Premium,Put - Premium,actual premium,PnL,PL_Amount,Profit/Loss
24,09-03-2020,14:56:12,SOLD,-5,VERTICAL,INTC,(Weeklys),11-SEP-20,[PM],CALL,.10,-,52,52.5,,,52.1,,0.01,0.09000000000000001,9.000000000000002,Profit
23,09-03-2020,13:39:52,SOLD,-1,VERTICAL,FB,(Weeklys),11-SEP-20,[PM],CALL,1.91,MIAX,295,300,,,296.91,,0.01,1.9,190.0,Profit
5,09-01-2020,09:14:02,BOT,+1,VERTICAL,FB,(Weeklys),11-SEP-20,[PM],CALL,12.45,ISE,280,300,,,292.45,,0.18,12.27,1227.0,Profit
15,09-02-2020,11:21:29,BOT,+1,VERTICAL,FB,(Weeklys),11-SEP-20,[PM],CALL,2.44,CBOE,295,300,,,297.44,,0.01,2.43,243.00000000000003,Profit
13,09-02-2020,09:33:53,BOT,+5,VERTICAL,INTC,(Weeklys),11-SEP-20,[PM],CALL,.23,EDGX,52,52.5,,,52.23,,0.01,0.22,22.0,Profit
12,09-02-2020,09:24:09,SOLD,-1,VERTICAL,ZM,(Weeklys),11-SEP-20,[PM],PUT,3.66,CBOE,,,445,450,,446.34,0.0,3.66,366.0,Profit
10,09-01-2020,14:34:16,BOT,+1,VERTICAL,ZM,(Weeklys),11-SEP-20,[PM],PUT,2.50,ISE,,,445,450,,447.5,0.0,2.5,250.0,Profit
9,09-01-2020,11:52:30,SOLD,-1,VERTICAL,DOCU,(Weeklys),11-SEP-20,[PM],CALL,9.77,-,240,265,,,249.77,,0.05,9.719999999999999,971.9999999999999,Profit
8,09-01-2020,11:38:54,SOLD,-1,VERTICAL,DOCU,Monthly,16-OCT-20,[PM],PUT,1.96,CBOE,,,180,190,,188.04,31.75,-29.79,-2979.0,Loss
7,09-01-2020,11:27:03,BOT,+1,VERTICAL,DOCU,(Weeklys),11-SEP-20,[PM],CALL,9.82,CBOE,240,265,,,249.82,,0.05,9.77,977.0,Profit
6,09-01-2020,09:36:09,SOLD,-1,VERTICAL,FB,(Weeklys),11-SEP-20,[PM],CALL,12.95,CBOE,280,300,,,292.95,,0.18,12.77,1277.0,Profit
16,09-02-2020,13:32:18,SOLD,-1,VERTICAL,NKE,Monthly,16-OCT-20,[PM],CALL,3.04,CBOE,110,115,,,113.04,,20.95,-17.91,-1791.0,Loss
17,09-02-2020,13:32:18,SOLD,-1,VERTICAL,NKE,Monthly,16-OCT-20,[PM],CALL,3.04,CBOE,110,115,,,113.04,,20.95,-17.91,-1791.0,Loss
